ZIP_code,category
11207,home_AV_bottom_5
11212,home_AV_bottom_5
11436,home_AV_bottom_5
11692,home_AV_bottom_5
11693,home_AV_bottom_5
10007,home_AV_top_5
10012,home_AV_top_5
10013,home_AV_top_5
10065,home_AV_top_5
10069,home_AV_top_5
10026,home_CAGR_top_10
11201,home_CAGR_top_10
11205,home_CAGR_top_10
11206,home_CAGR_top_10
11217,home_CAGR_top_10
11221,home_CAGR_top_10
11226,home_CAGR_top_10
11232,home_CAGR_top_10
11233,home_CAGR_top_10
11237,home_CAGR_top_10
10451,rent_AV_bottom_5
10457,rent_AV_bottom_5
10462,rent_AV_bottom_5
10467,rent_AV_bottom_5
10469,rent_AV_bottom_5
10004,rent_AV_top_5
10014,rent_AV_top_5
10065,rent_AV_top_5
10069,rent_AV_top_5
10030,rent_CAGR_top_10
10032,rent_CAGR_top_10
10039,rent_CAGR_top_10
11210,rent_CAGR_top_10
11213,rent_CAGR_top_10
11219,rent_CAGR_top_10
11221,rent_CAGR_top_10
11228,rent_CAGR_top_10
11233,rent_CAGR_top_10
11366,rent_CAGR_top_10
10011,rent_AV_top_5
